"Börsdata ID","Bolagsnamn","ROIC - Senaste","Nettoskuld - Senaste","EV/EBIT - Senaste","EV/FCF - Senaste","Capex - Per Aktie","P/B - Senaste","PEG - Senaste","Börsvärde - Senaste","RSI - RSI(14)","MA -  5/20","MA -  50/200","Kursutveck. - Utveck.  1m"
"1579","24SevenOffice","-1576,1%","-99%","11,9","-0,4","36,96","0,7","0,0","1322","43,7","-0,3%","-0,0%","1,0%"
"1550","2cureX","-10738,3%","-81%","0,2","0,2","-0,00","0,5",,"9","41,8","-4,0%","-14,1%","-22,1%"
"2396","4C Group","-1,3%","15%","-116,3","22,1","-0,37","2,6",,"632","79,1","19,9%","-27,8%","75,6%"
"1398","AAC Clyde Space","-0,8%","-4%","-71,5","23,7","-8,93","0,5",,"335","74,0","14,2%","11,9%","27,3%"
"2","AAK","17,0%","5%","16,3","45,5","-2,31","3,9","1,1","78075","41,6","-0,8%","0,5%","-5,5%"
"2481","ABAS Protect","1,1%","30%","45,0","-82,4","-0,42","1,6","-1,0","64","52,1","-2,2%","-6,3%","0,6%"
"3","ABB","18,9%","3%","19,3","24,7","-0,39","6,7","4,8","1068737","34,4","-2,8%","2,2%","-5,6%"
"1461","Abelco Investment","-95,1%","-0%","-3,8","-2,3","0,00","0,3",,"16","45,0","-7,9%","-15,9%","-30,0%"
"2079","Abera Bioscience","-42,9%","-45%","-79,5","-67,0","-0,08","11,0",,"95","69,7","19,1%","5,6%","57,8%"
"384","Abliva","-310,0%","-44%","-7,3","-6,4","-0,00","11,3",,"725","74,7","0,8%","81,8%","3,3%"
"437","Absolent Air Care","12,1%","14%","16,6","31,2","-3,37","3,3","8,3","3159","59,4","7,9%","-13,3%","12,5%"
"1336","Absolicon","-46,6%","-20%","-1,1","-2,0","-0,05","0,6",,"33","59,3","1,5%","-37,8%","12,5%"
"1323","AcadeMedia","4,3%","53%","12,5","7,0","-6,96","1,3","0,3","8003","70,4","4,3%","12,1%","12,0%"
"1397","Acarix","-387,5%","-73%","-2,8","-2,9","-0,00","3,2",,"257","45,8","-3,3%","-25,6%","-4,0%"
"2198","Acast","11,3%","-28%","-41,7","-57,8","-0,42","2,3","0,3","2970","40,5","-5,2%","6,2%","-3,2%"
"1572","Acconeer","-18,1%","-21%","-10,0","-3,4","-0,83","1,5",,"333","56,6","8,2%","-23,6%","17,3%"
"432","Acenta Group","70,5%","1%","-0,2","-0,1","0,02","0,1","0,0","51","47,7","-19,3%","-42,5%","-17,7%"
"1402","AcouSort","-847,4%","-52%","-5,2","-5,1","-0,11","9,0",,"106","38,4","-8,5%","-27,8%","-27,3%"
"607","Acrinova A","2,2%","45%","32,4","-60,5","-1,29","0,6","0,5","621","52,7","3,6%","-4,9%","2,8%"
"2104","Acrinova B","2,2%","45%","33,0","-61,7","-1,29","0,7","0,6","651","65,2","2,9%","-1,1%","7,7%"
"1426","Actic Group","-1,0%","68%","26,3","6,7","-0,84","1,7",,"272","84,9","29,9%","10,9%","89,1%"
